編號,股票代碼,股票名稱,現股價值,,,,,,,,,
118,5243,乙盛-KY,104,,,,,,,,,
119,2615,萬海,81.4,,,,,,,,,
120,6789,采鈺,511,,,,,,,,,
121,6510,精測,3360,,,,,,,,,
122,8261,富鼎,149,,,,,,,,,
123,2377,微星,109.5,,,,,,,,,
124,1717,長興,71.7,,,,,,,,,
125,1560,中砂,606,,,,,,,,,
126,2882,國泰金,78.1,,,,,,,,,
127,3305,昇貿,134.5,,,,,,,,,
128,9816,凱基台灣TOP50,13.31,,,,,,,,,
129,00632R,元大台灣50反1,11.76,,,,,,,,,
130,3675,德微,311.5,,,,,,,,,
131,5439,高技,363.5,,,,,,,,,
132,2356,英業達,50.9,,,,,,,,,
133,2451,創見,306,,,,,,,,,
134,2379,瑞昱,562,,,,,,,,,
135,8028,昇陽半導體,257,,,,,,,,,
136,2388,威盛,80,,,,,,,,,
137,2467,志聖,553,,,,,,,,,
138,3363,上詮,782,,,,,,,,,
139,6209,今國光,78.9,,,,,,,,,
140,52,富邦科技,54.4,,,,,,,,,
141,6127,九豪,52.1,,,,,,,,,
142,6805,富世達,1710,,,,,,,,,
143,6727,亞泰金屬,501,,,,,,,,,
144,3211,順達,347.5,,,,,,,,,
145,5351,鈺創,73.9,,,,,,,,,
146,6919,康霈*,101,,,,,,,,,
147,6274,台燿,1200,,,,,,,,,
148,2375,凱美,111.5,,,,,,,,,
149,8069,元太,230,,,,,,,,,
150,3035,智原,188,,,,,,,,,
151,878,國泰永續高股息,26.9,,,,,,,,,
152,1815,富喬,99.5,,,,,,,,,
153,5309,系統電,67.7,,,,,,,,,
154,2498,宏達電,45.7,,,,,,,,,
155,3019,亞光,150.5,,,,,,,,,
156,00937B,群益ESG投等債20+,14.51,,,,,,,,,
157,2059,川湖,4495,,,,,,,,,
158,4989,榮科,91.8,,,,,,,,,
159,3663,鑫科,79.6,,,,,,,,,
160,6706,惠特,160.5,,,,,,,,,
161,3026,禾伸堂,390,,,,,,,,,
162,3535,晶彩科,122,,,,,,,,,
163,2886,兆豐金,40.25,,,,,,,,,
164,3680,家登,503,,,,,,,,,
165,7734,印能科技,3295,,,,,,,,,
166,3045,台灣大,116,,,,,,,,,
167,3563,牧德,846,,,,,,,,,
168,8210,勤誠,1275,,,,,,,,,
169,6515,穎崴,9420,,,,,,,,,
170,6830,汎銓,683,,,,,,,,,
171,56,元大高股息,44.01,,,,,,,,,
172,3715,定穎投控,160.5,,,,,,,,,
173,3236,千如,42.3,,,,,,,,,
174,3583,辛耘,817,,,,,,,,,
175,2351,順德,177,,,,,,,,,
176,6719,力智,232,,,,,,,,,
177,3023,信邦,303.5,,,,,,,,,
178,3580,友威科,102.5,,,,,,,,,
179,00988A,主動統一全球創新,18.16,,,,,,,,,
180,6443,元晶,40.35,,,,,,,,,
181,2484,希華,44.3,,,,,,,,,
182,00738U,期元大道瓊白銀,59.4,,,,,,,,,
183,2609,陽明,50.3,,,,,,,,,
184,5483,中美晶,134.5,,,,,,,,,
185,3645,達邁,103,,,,,,,,,
186,4967,十銓,258,,,,,,,,,
187,8039,台虹,126.5,,,,,,,,,
188,2478,大毅,105.5,,,,,,,,,
189,8150,南茂,74.3,,,,,,,,,
190,6781,AES-KY,1085,,,,,,,,,
191,5536,聖暉*,915,,,,,,,,,
192,8016,矽創,284,,,,,,,,,
193,3044,健鼎,460,,,,,,,,,
194,00991A,主動復華未來50,16.9,,,,,,,,,
195,2912,統一超,223.5,,,,,,,,,
196,1519,華城,772,,,,,,,,,
197,3149,正達,55.6,,,,,,,,,
198,2883,凱基金,21.65,,,,,,,,,
199,2441,超豐,102.5,,,,,,,,,
200,2301,光寶科,252.0,,,,,,,,,
200,3576,聯合再生,17.55,,,,,,,,,
201,8299,群聯,2260,,,,,,,,,
202,6147,頎邦,216.5,,,,,,,,,
203,3105,穩懋,446,,,,,,,,,
204,5289,宜鼎,1665,,,,,,,,,
205,5347,世界,160.5,,,,,,,,,
206,3624,光頡,92.6,,,,,,,,,
207,5425,台半,87.8,,,,,,,,,
208,3260,威剛,403.5,,,,,,,,,
209,6223,旺矽,5730,,,,,,,,,
210,3081,聯亞,2570,,,,,,,,,
